id,module,module_path,procedure,static_classification,inventory_classification,inventory_decision,user_document_references,disposition,rationale
CF_ModeReference.CF_RunLauncherQuick,CF_ModeReference,Modes/CF_ModeReference.bas,CF_RunLauncherQuick,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Audit.CF_AuditClearHistory,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditClearHistory,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_ComparatorConfig.CF_ReloadComparatorConfig,CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_ReloadComparatorConfig,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Context.CF_ContextCount,CompareFramework_Context,CompareFramework_Context.bas,CF_ContextCount,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Main.CF_RunMilestoneA,CompareFramework_Main,CompareFramework_Main.bas,CF_RunMilestoneA,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Main.CF_RunMilestoneB,CompareFramework_Main,CompareFramework_Main.bas,CF_RunMilestoneB,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Main.CF_RunMilestoneB_Final,CompareFramework_Main,CompareFramework_Main.bas,CF_RunMilestoneB_Final,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Main.CF_RunMilestoneC,CompareFramework_Main,CompareFramework_Main.bas,CF_RunMilestoneC,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Main.CF_RunMilestoneC_Final,CompareFramework_Main,CompareFramework_Main.bas,CF_RunMilestoneC_Final,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Main.CF_RunPerformanceProfiled,CompareFramework_Main,CompareFramework_Main.bas,CF_RunPerformanceProfiled,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Main.ComparerToutesLesFeuilles_Contextualisee,CompareFramework_Main,CompareFramework_Main.bas,ComparerToutesLesFeuilles_Contextualisee,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
CompareFramework_Profiles.CF_ListProfiles,CompareFramework_Profiles,CompareFramework_Profiles.bas,CF_ListProfiles,zero-caller-review,module-internal-candidate,candidate-private-after-regression,,private-after-regression-review,Both inventories identify a module-internal candidate; regression and external macro checks are still required before changing visibility.
